model,accuracy,precision,recall,f1_score,roc_auc,experiment,strategy,status
random_forest,0.7455579246624022,0.513986013986014,0.786096256684492,0.6215644820295984,0.8329084075767066,imbalance,weighted,champion
random_forest_optimized,0.759772565742715,0.5348837209302325,0.7379679144385026,0.6202247191011236,0.8318911741410459,optimized,,challenger
random_forest,0.759772565742715,0.5348837209302325,0.7379679144385026,0.6202247191011236,0.8318911741410459,imbalance,none,challenger
xgboost,0.7434257285003554,0.5113438045375218,0.7834224598930482,0.6187961985216474,0.8339968214690611,imbalance,weighted,challenger
random_forest,0.7683013503909026,0.551948051948052,0.6818181818181818,0.6100478468899522,0.8273848041372671,imbalance,smote,challenger
logistic_regression_optimized,0.728500355366027,0.4933554817275747,0.7941176470588235,0.6086065573770492,0.8352017124723691,optimized,,challenger
logistic_regression,0.728500355366027,0.4933554817275747,0.7941176470588235,0.6086065573770492,0.8352017124723691,imbalance,none,challenger
logistic_regression,0.728500355366027,0.4933554817275747,0.7941176470588235,0.6086065573770492,0.8352017124723691,imbalance,weighted,challenger
logistic_regression,0.8038379530916845,0.6484848484848484,0.5721925133689839,0.6079545454545454,0.8359290473207676,baseline,,challenger
logistic_regression,0.7320540156361052,0.4974271012006861,0.7754010695187166,0.6060606060606061,0.8335529142573161,imbalance,smote,challenger
xgboost,0.7683013503909026,0.5558139534883721,0.6390374331550802,0.5945273631840796,0.8332293667268896,imbalance,smote,challenger
xgboost_optimized,0.7974413646055437,0.6421725239616614,0.5374331550802139,0.5851528384279476,0.8403512949666357,optimized,,challenger
xgboost,0.7974413646055437,0.6421725239616614,0.5374331550802139,0.5851528384279476,0.8403512949666357,imbalance,none,challenger
xgboost,0.7690120824449183,0.5710144927536231,0.5267379679144385,0.5479833101529903,0.8119127612322761,baseline,,challenger
random_forest,0.7874911158493249,0.6306620209059234,0.4839572192513369,0.5476550680786687,0.8136612120867004,baseline,,challenger
